ticker,task,configuration,accuracy,f1_score
AAPL,3class,News+TS,34.60490463215259,26.35487467184522
AAPL,3class,News+TS+Price,37.87465940054496,18.31357048748353
AAPL,3class,News+Price,37.87465940054496,18.31357048748353
AAPL,3class,Price_Only,37.87465940054496,18.31357048748353
AAPL,2class,News+TS,68.11989100817438,40.51863857374392
AAPL,2class,News+TS+Price,68.11989100817438,40.51863857374392
AAPL,2class,News+Price,68.11989100817438,40.51863857374392
AAPL,2class,Price_Only,68.11989100817438,40.51863857374392
AMZN,3class,News+TS,25.885558583106267,18.520012878667465
AMZN,3class,News+TS+Price,41.41689373297003,19.524727039177904
AMZN,3class,News+Price,41.41689373297003,19.524727039177904
AMZN,3class,Price_Only,41.41689373297003,19.524727039177904
AMZN,2class,News+TS,74.93188010899182,42.834890965732086
AMZN,2class,News+TS+Price,74.93188010899182,42.834890965732086
AMZN,2class,News+Price,74.93188010899182,42.834890965732086
AMZN,2class,Price_Only,74.93188010899182,42.834890965732086
GOOGL,3class,News+TS,44.141689373297005,21.202897985197904
GOOGL,3class,News+TS+Price,44.6866485013624,20.59008160703076
GOOGL,3class,News+Price,24.52316076294278,13.129102844638949
GOOGL,3class,Price_Only,44.6866485013624,20.59008160703076
GOOGL,2class,News+TS,74.65940054495913,42.74570982839314
GOOGL,2class,News+TS+Price,75.47683923705722,43.01242236024845
GOOGL,2class,News+Price,75.47683923705722,43.01242236024845
GOOGL,2class,Price_Only,75.47683923705722,43.01242236024845
META,3class,News+TS,31.88010899182561,26.417861711979356
META,3class,News+TS+Price,41.14441416893733,19.433719433719432
META,3class,News+Price,41.14441416893733,19.433719433719432
META,3class,Price_Only,41.14441416893733,19.433719433719432
META,2class,News+TS,68.93732970027247,45.38690476190476
META,2class,News+TS+Price,73.56948228882834,42.3861852433281
META,2class,News+Price,73.56948228882834,42.3861852433281
META,2class,Price_Only,73.56948228882834,42.3861852433281
MSFT,3class,News+TS,38.69209809264305,27.76001421085354
MSFT,3class,News+TS+Price,37.05722070844686,18.02518223989397
MSFT,3class,News+Price,37.05722070844686,18.02518223989397
MSFT,3class,Price_Only,37.05722070844686,18.02518223989397
MSFT,2class,News+TS,64.57765667574932,39.23841059602649
MSFT,2class,News+TS+Price,64.57765667574932,39.23841059602649
MSFT,2class,News+Price,64.57765667574932,39.23841059602649
MSFT,2class,Price_Only,64.57765667574932,39.23841059602649
NVDA,3class,News+TS,38.69209809264305,26.190476190476193
NVDA,3class,News+TS+Price,47.41144414168937,21.44177449168207
NVDA,3class,News+Price,47.41144414168937,21.44177449168207
NVDA,3class,Price_Only,47.41144414168937,21.44177449168207
NVDA,2class,News+TS,84.19618528610354,45.710059171597635
NVDA,2class,News+TS+Price,84.19618528610354,45.710059171597635
NVDA,2class,News+Price,84.19618528610354,45.710059171597635
NVDA,2class,Price_Only,84.19618528610354,45.710059171597635
TSLA,3class,News+TS,41.96185286103542,19.705694177863084
TSLA,3class,News+TS+Price,41.96185286103542,19.705694177863084
TSLA,3class,News+Price,41.96185286103542,19.705694177863084
TSLA,3class,Price_Only,41.96185286103542,19.705694177863084
TSLA,2class,News+TS,84.46866485013625,45.79025110782865
TSLA,2class,News+TS+Price,84.46866485013625,45.79025110782865
TSLA,2class,News+Price,84.46866485013625,45.79025110782865
TSLA,2class,Price_Only,84.46866485013625,45.79025110782865
