Model,MAPE,Direction_Accuracy,RMSE,MAE,Parameters,Experiment
Multimodal_LSTM,3.017464280128479,49.49297971918877,7.0993013,3.8455598,1125378,Full Multimodal
Price_Only_LSTM,2.6625489816069603,50.546021840873635,6.4110284,3.4513345,568706,Full Multimodal
Hybrid_Transformer,7.3251426219940186,48.16692667706708,16.117907,9.1289835,1374081,Full Multimodal
Embeddings_Only_LSTM,5.545752122998238,49.49297971918877,13.616849,7.294417,1121538,Full Multimodal
Multimodal_LSTM,2.725355699658394,50.70202808112324,6.635911,3.549621,928770,No News
Price_Only_LSTM,2.7061890810728073,50.11700468018721,6.463377,3.4894202,568706,No News
Hybrid_Transformer,2.8634777292609215,51.13104524180967,6.849591,3.725364,1177473,No News
Embeddings_Only_LSTM,3.0878987163305283,50.62402496099844,7.165823,3.9915483,924930,No News
Multimodal_LSTM,2.979164943099022,49.80499219968799,7.08916,3.8773687,928770,No Time Series
Price_Only_LSTM,2.7645738795399666,50.390015600624025,6.5999475,3.5577083,568706,No Time Series
Hybrid_Transformer,7.273446023464203,48.24492979719189,15.974804,9.09195,1177473,No Time Series
Embeddings_Only_LSTM,6.507723778486252,48.049921996879874,15.319844,8.402304,924930,No Time Series
