Job ID: 3636051
Running on node: hyperion-030.sw.ehu.es
Starting time: Sun Nov 16 10:58:57 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/pointer_generator
Starting training...
================================================================================
POINTER-GENERATOR NETWORK TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 83871 examples
✓ Val: 10483 examples
✓ Test: 10485 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=16)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 12,627,363
✓ Coverage mechanism: Disabled
✓ Optimizer: Adam (lr=0.001)
✓ LR Scheduler: ReduceLROnPlateau (patience=2)

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/pointer_generator/logs/training_20251116_105918.log

Epoch 1/20
----------------------------------------
  Batch 10/5242, Loss: 7.1727, NLL: 7.1727, Coverage: 0.0000
  Batch 20/5242, Loss: 6.9953, NLL: 6.9953, Coverage: 0.0000
  Batch 30/5242, Loss: 6.4798, NLL: 6.4798, Coverage: 0.0000
  Batch 40/5242, Loss: 6.7084, NLL: 6.7084, Coverage: 0.0000
  Batch 50/5242, Loss: 6.4885, NLL: 6.4885, Coverage: 0.0000
  Batch 60/5242, Loss: 6.4124, NLL: 6.4124, Coverage: 0.0000
  Batch 70/5242, Loss: 6.5491, NLL: 6.5491, Coverage: 0.0000
  Batch 80/5242, Loss: 6.6255, NLL: 6.6255, Coverage: 0.0000
  Batch 90/5242, Loss: 6.2733, NLL: 6.2733, Coverage: 0.0000
  Batch 100/5242, Loss: 6.2997, NLL: 6.2997, Coverage: 0.0000
  Batch 110/5242, Loss: 6.5045, NLL: 6.5045, Coverage: 0.0000
  Batch 120/5242, Loss: 6.4730, NLL: 6.4730, Coverage: 0.0000
  Batch 130/5242, Loss: 6.4196, NLL: 6.4196, Coverage: 0.0000
  Batch 140/5242, Loss: 6.4433, NLL: 6.4433, Coverage: 0.0000
  Batch 150/5242, Loss: 6.2251, NLL: 6.2251, Coverage: 0.0000
  Batch 160/5242, Loss: 6.4273, NLL: 6.4273, Coverage: 0.0000
  Batch 170/5242, Loss: 6.3769, NLL: 6.3769, Coverage: 0.0000
  Batch 180/5242, Loss: 6.2333, NLL: 6.2333, Coverage: 0.0000
  Batch 190/5242, Loss: 6.1079, NLL: 6.1079, Coverage: 0.0000
  Batch 200/5242, Loss: 6.4117, NLL: 6.4117, Coverage: 0.0000
  Batch 210/5242, Loss: 6.4682, NLL: 6.4682, Coverage: 0.0000
  Batch 220/5242, Loss: 6.2921, NLL: 6.2921, Coverage: 0.0000
  Batch 230/5242, Loss: 6.4831, NLL: 6.4831, Coverage: 0.0000
  Batch 240/5242, Loss: 6.2175, NLL: 6.2175, Coverage: 0.0000
  Batch 250/5242, Loss: 6.2639, NLL: 6.2639, Coverage: 0.0000
  Batch 260/5242, Loss: 6.1143, NLL: 6.1143, Coverage: 0.0000
  Batch 270/5242, Loss: 6.5803, NLL: 6.5803, Coverage: 0.0000
  Batch 280/5242, Loss: 6.2866, NLL: 6.2866, Coverage: 0.0000
  Batch 290/5242, Loss: 6.2828, NLL: 6.2828, Coverage: 0.0000
  Batch 300/5242, Loss: 6.3843, NLL: 6.3843, Coverage: 0.0000
  Batch 310/5242, Loss: 6.2674, NLL: 6.2674, Coverage: 0.0000
  Batch 320/5242, Loss: 6.5157, NLL: 6.5157, Coverage: 0.0000
  Batch 330/5242, Loss: 6.1757, NLL: 6.1757, Coverage: 0.0000
  Batch 340/5242, Loss: 6.2547, NLL: 6.2547, Coverage: 0.0000
  Batch 350/5242, Loss: 6.2568, NLL: 6.2568, Coverage: 0.0000
  Batch 360/5242, Loss: 6.3192, NLL: 6.3192, Coverage: 0.0000
  Batch 370/5242, Loss: 6.2236, NLL: 6.2236, Coverage: 0.0000
  Batch 380/5242, Loss: 6.1389, NLL: 6.1389, Coverage: 0.0000
  Batch 390/5242, Loss: 6.2866, NLL: 6.2866, Coverage: 0.0000
  Batch 400/5242, Loss: 6.3599, NLL: 6.3599, Coverage: 0.0000
  Batch 410/5242, Loss: 5.9385, NLL: 5.9385, Coverage: 0.0000
  Batch 420/5242, Loss: 6.0824, NLL: 6.0824, Coverage: 0.0000
  Batch 430/5242, Loss: 6.0589, NLL: 6.0589, Coverage: 0.0000
  Batch 440/5242, Loss: 5.9515, NLL: 5.9515, Coverage: 0.0000
  Batch 450/5242, Loss: 6.0884, NLL: 6.0884, Coverage: 0.0000
  Batch 460/5242, Loss: 6.1720, NLL: 6.1720, Coverage: 0.0000
  Batch 470/5242, Loss: 5.9955, NLL: 5.9955, Coverage: 0.0000
  Batch 480/5242, Loss: 6.1040, NLL: 6.1040, Coverage: 0.0000
  Batch 490/5242, Loss: 6.2344, NLL: 6.2344, Coverage: 0.0000
  Batch 500/5242, Loss: 6.1867, NLL: 6.1867, Coverage: 0.0000
  Batch 510/5242, Loss: 6.1097, NLL: 6.1097, Coverage: 0.0000
  Batch 520/5242, Loss: 6.0760, NLL: 6.0760, Coverage: 0.0000
  Batch 530/5242, Loss: 6.1442, NLL: 6.1442, Coverage: 0.0000
  Batch 540/5242, Loss: 6.1233, NLL: 6.1233, Coverage: 0.0000
  Batch 550/5242, Loss: 6.1845, NLL: 6.1845, Coverage: 0.0000
  Batch 560/5242, Loss: 5.9998, NLL: 5.9998, Coverage: 0.0000
  Batch 570/5242, Loss: 6.1968, NLL: 6.1968, Coverage: 0.0000
  Batch 580/5242, Loss: 6.0951, NLL: 6.0951, Coverage: 0.0000
  Batch 590/5242, Loss: 5.8871, NLL: 5.8871, Coverage: 0.0000
  Batch 600/5242, Loss: 6.0743, NLL: 6.0743, Coverage: 0.0000
  Batch 610/5242, Loss: 5.9826, NLL: 5.9826, Coverage: 0.0000
  Batch 620/5242, Loss: 6.1806, NLL: 6.1806, Coverage: 0.0000
  Batch 630/5242, Loss: 5.9512, NLL: 5.9512, Coverage: 0.0000
  Batch 640/5242, Loss: 6.0095, NLL: 6.0095, Coverage: 0.0000
  Batch 650/5242, Loss: 5.8791, NLL: 5.8791, Coverage: 0.0000
  Batch 660/5242, Loss: 5.9072, NLL: 5.9072, Coverage: 0.0000
  Batch 670/5242, Loss: 5.9972, NLL: 5.9972, Coverage: 0.0000
  Batch 680/5242, Loss: 6.1026, NLL: 6.1026, Coverage: 0.0000
  Batch 690/5242, Loss: 6.0516, NLL: 6.0516, Coverage: 0.0000
  Batch 700/5242, Loss: 5.8917, NLL: 5.8917, Coverage: 0.0000
  Batch 710/5242, Loss: 6.0497, NLL: 6.0497, Coverage: 0.0000
  Batch 720/5242, Loss: 6.0790, NLL: 6.0790, Coverage: 0.0000
  Batch 730/5242, Loss: 6.0636, NLL: 6.0636, Coverage: 0.0000
  Batch 740/5242, Loss: 6.0047, NLL: 6.0047, Coverage: 0.0000
  Batch 750/5242, Loss: 5.8567, NLL: 5.8567, Coverage: 0.0000
  Batch 760/5242, Loss: 5.9929, NLL: 5.9929, Coverage: 0.0000
  Batch 770/5242, Loss: 5.9986, NLL: 5.9986, Coverage: 0.0000
  Batch 780/5242, Loss: 6.0485, NLL: 6.0485, Coverage: 0.0000
  Batch 790/5242, Loss: 5.9786, NLL: 5.9786, Coverage: 0.0000
  Batch 800/5242, Loss: 6.0830, NLL: 6.0830, Coverage: 0.0000
  Batch 810/5242, Loss: 6.0453, NLL: 6.0453, Coverage: 0.0000
  Batch 820/5242, Loss: 6.0522, NLL: 6.0522, Coverage: 0.0000
  Batch 830/5242, Loss: 6.0753, NLL: 6.0753, Coverage: 0.0000
  Batch 840/5242, Loss: 6.0278, NLL: 6.0278, Coverage: 0.0000
  Batch 850/5242, Loss: 6.0978, NLL: 6.0978, Coverage: 0.0000
  Batch 860/5242, Loss: 5.9156, NLL: 5.9156, Coverage: 0.0000
  Batch 870/5242, Loss: 5.6504, NLL: 5.6504, Coverage: 0.0000
  Batch 880/5242, Loss: 6.0264, NLL: 6.0264, Coverage: 0.0000
  Batch 890/5242, Loss: 6.1339, NLL: 6.1339, Coverage: 0.0000
  Batch 900/5242, Loss: 5.8294, NLL: 5.8294, Coverage: 0.0000
  Batch 910/5242, Loss: 5.9864, NLL: 5.9864, Coverage: 0.0000
  Batch 920/5242, Loss: 5.8176, NLL: 5.8176, Coverage: 0.0000
  Batch 930/5242, Loss: 5.7700, NLL: 5.7700, Coverage: 0.0000
  Batch 940/5242, Loss: 5.9835, NLL: 5.9835, Coverage: 0.0000
  Batch 950/5242, Loss: 5.4778, NLL: 5.4778, Coverage: 0.0000
  Batch 960/5242, Loss: 5.8701, NLL: 5.8701, Coverage: 0.0000
  Batch 970/5242, Loss: 5.8348, NLL: 5.8348, Coverage: 0.0000
  Batch 980/5242, Loss: 5.7821, NLL: 5.7821, Coverage: 0.0000
  Batch 990/5242, Loss: 5.8195, NLL: 5.8195, Coverage: 0.0000
  Batch 1000/5242, Loss: 5.5325, NLL: 5.5325, Coverage: 0.0000
  Batch 1010/5242, Loss: 6.1801, NLL: 6.1801, Coverage: 0.0000
  Batch 1020/5242, Loss: 5.6629, NLL: 5.6629, Coverage: 0.0000
  Batch 1030/5242, Loss: 6.1160, NLL: 6.1160, Coverage: 0.0000
  Batch 1040/5242, Loss: 5.6094, NLL: 5.6094, Coverage: 0.0000
  Batch 1050/5242, Loss: 6.0250, NLL: 6.0250, Coverage: 0.0000
  Batch 1060/5242, Loss: 5.6826, NLL: 5.6826, Coverage: 0.0000
  Batch 1070/5242, Loss: 5.6673, NLL: 5.6673, Coverage: 0.0000
  Batch 1080/5242, Loss: 5.7986, NLL: 5.7986, Coverage: 0.0000
  Batch 1090/5242, Loss: 5.7709, NLL: 5.7709, Coverage: 0.0000
  Batch 1100/5242, Loss: 5.8656, NLL: 5.8656, Coverage: 0.0000
  Batch 1110/5242, Loss: 5.8108, NLL: 5.8108, Coverage: 0.0000
  Batch 1120/5242, Loss: 6.0002, NLL: 6.0002, Coverage: 0.0000
  Batch 1130/5242, Loss: 5.7824, NLL: 5.7824, Coverage: 0.0000
  Batch 1140/5242, Loss: 6.1145, NLL: 6.1145, Coverage: 0.0000
  Batch 1150/5242, Loss: 5.5257, NLL: 5.5257, Coverage: 0.0000
  Batch 1160/5242, Loss: 6.1673, NLL: 6.1673, Coverage: 0.0000
  Batch 1170/5242, Loss: 5.8404, NLL: 5.8404, Coverage: 0.0000
  Batch 1180/5242, Loss: 5.9120, NLL: 5.9120, Coverage: 0.0000
  Batch 1190/5242, Loss: 5.7724, NLL: 5.7724, Coverage: 0.0000
  Batch 1200/5242, Loss: 5.8108, NLL: 5.8108, Coverage: 0.0000
  Batch 1210/5242, Loss: 5.7914, NLL: 5.7914, Coverage: 0.0000
  Batch 1220/5242, Loss: 5.9027, NLL: 5.9027, Coverage: 0.0000
  Batch 1230/5242, Loss: 5.3950, NLL: 5.3950, Coverage: 0.0000
  Batch 1240/5242, Loss: 5.8474, NLL: 5.8474, Coverage: 0.0000
  Batch 1250/5242, Loss: 6.0423, NLL: 6.0423, Coverage: 0.0000
  Batch 1260/5242, Loss: 5.9751, NLL: 5.9751, Coverage: 0.0000
  Batch 1270/5242, Loss: 6.0008, NLL: 6.0008, Coverage: 0.0000
  Batch 1280/5242, Loss: 5.6930, NLL: 5.6930, Coverage: 0.0000
  Batch 1290/5242, Loss: 5.9444, NLL: 5.9444, Coverage: 0.0000
  Batch 1300/5242, Loss: 5.6609, NLL: 5.6609, Coverage: 0.0000
  Batch 1310/5242, Loss: 5.8270, NLL: 5.8270, Coverage: 0.0000
  Batch 1320/5242, Loss: 5.4997, NLL: 5.4997, Coverage: 0.0000
  Batch 1330/5242, Loss: 6.0362, NLL: 6.0362, Coverage: 0.0000
  Batch 1340/5242, Loss: 5.9880, NLL: 5.9880, Coverage: 0.0000
  Batch 1350/5242, Loss: 5.8234, NLL: 5.8234, Coverage: 0.0000
  Batch 1360/5242, Loss: 5.6158, NLL: 5.6158, Coverage: 0.0000
  Batch 1370/5242, Loss: 5.5975, NLL: 5.5975, Coverage: 0.0000
  Batch 1380/5242, Loss: 5.6546, NLL: 5.6546, Coverage: 0.0000
  Batch 1390/5242, Loss: 5.8134, NLL: 5.8134, Coverage: 0.0000
  Batch 1400/5242, Loss: 5.8415, NLL: 5.8415, Coverage: 0.0000
  Batch 1410/5242, Loss: 5.9174, NLL: 5.9174, Coverage: 0.0000
  Batch 1420/5242, Loss: 5.6701, NLL: 5.6701, Coverage: 0.0000
  Batch 1430/5242, Loss: 5.6808, NLL: 5.6808, Coverage: 0.0000
