Job ID: 3825986
Running on node: hyperion-182.sw.ehu.es
Starting time: Thu Nov 27 22:40:53 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/pointer_generator
Starting training...
================================================================================
POINTER-GENERATOR NETWORK TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=16)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 12,627,363
✓ Coverage mechanism: Disabled
✓ Optimizer: Adam (lr=0.001)
✓ LR Scheduler: ReduceLROnPlateau (patience=2)

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/pointer_generator/logs/training_20251127_224109.log

Epoch 1/20
----------------------------------------
  Batch 10/4162, Loss: 7.1715, NLL: 7.1715, Coverage: 0.0000
  Batch 20/4162, Loss: 6.5343, NLL: 6.5343, Coverage: 0.0000
  Batch 30/4162, Loss: 6.4826, NLL: 6.4826, Coverage: 0.0000
  Batch 40/4162, Loss: 6.7100, NLL: 6.7100, Coverage: 0.0000
  Batch 50/4162, Loss: 6.6669, NLL: 6.6669, Coverage: 0.0000
  Batch 60/4162, Loss: 6.4895, NLL: 6.4895, Coverage: 0.0000
  Batch 70/4162, Loss: 6.4325, NLL: 6.4325, Coverage: 0.0000
  Batch 80/4162, Loss: 6.3791, NLL: 6.3791, Coverage: 0.0000
  Batch 90/4162, Loss: 6.5632, NLL: 6.5632, Coverage: 0.0000
  Batch 100/4162, Loss: 6.2486, NLL: 6.2486, Coverage: 0.0000
  Batch 110/4162, Loss: 6.2062, NLL: 6.2062, Coverage: 0.0000
  Batch 120/4162, Loss: 6.3724, NLL: 6.3724, Coverage: 0.0000
  Batch 130/4162, Loss: 6.5093, NLL: 6.5093, Coverage: 0.0000
  Batch 140/4162, Loss: 6.3205, NLL: 6.3205, Coverage: 0.0000
  Batch 150/4162, Loss: 6.6329, NLL: 6.6329, Coverage: 0.0000
  Batch 160/4162, Loss: 6.3334, NLL: 6.3334, Coverage: 0.0000
  Batch 170/4162, Loss: 6.4853, NLL: 6.4853, Coverage: 0.0000
  Batch 180/4162, Loss: 6.3351, NLL: 6.3351, Coverage: 0.0000
  Batch 190/4162, Loss: 6.3905, NLL: 6.3905, Coverage: 0.0000
  Batch 200/4162, Loss: 5.9496, NLL: 5.9496, Coverage: 0.0000
  Batch 210/4162, Loss: 6.4000, NLL: 6.4000, Coverage: 0.0000
  Batch 220/4162, Loss: 6.4160, NLL: 6.4160, Coverage: 0.0000
  Batch 230/4162, Loss: 6.1821, NLL: 6.1821, Coverage: 0.0000
  Batch 240/4162, Loss: 6.4981, NLL: 6.4981, Coverage: 0.0000
  Batch 250/4162, Loss: 6.3685, NLL: 6.3685, Coverage: 0.0000
  Batch 260/4162, Loss: 6.5233, NLL: 6.5233, Coverage: 0.0000
  Batch 270/4162, Loss: 6.1496, NLL: 6.1496, Coverage: 0.0000
  Batch 280/4162, Loss: 6.0693, NLL: 6.0693, Coverage: 0.0000
  Batch 290/4162, Loss: 6.1744, NLL: 6.1744, Coverage: 0.0000
  Batch 300/4162, Loss: 6.2239, NLL: 6.2239, Coverage: 0.0000
  Batch 310/4162, Loss: 6.2088, NLL: 6.2088, Coverage: 0.0000
  Batch 320/4162, Loss: 6.2142, NLL: 6.2142, Coverage: 0.0000
  Batch 330/4162, Loss: 5.9852, NLL: 5.9852, Coverage: 0.0000
  Batch 340/4162, Loss: 6.2783, NLL: 6.2783, Coverage: 0.0000
  Batch 350/4162, Loss: 6.4767, NLL: 6.4767, Coverage: 0.0000
  Batch 360/4162, Loss: 6.0072, NLL: 6.0072, Coverage: 0.0000
  Batch 370/4162, Loss: 6.1942, NLL: 6.1942, Coverage: 0.0000
  Batch 380/4162, Loss: 6.2240, NLL: 6.2240, Coverage: 0.0000
  Batch 390/4162, Loss: 6.2196, NLL: 6.2196, Coverage: 0.0000
  Batch 400/4162, Loss: 6.3895, NLL: 6.3895, Coverage: 0.0000
  Batch 410/4162, Loss: 6.2161, NLL: 6.2161, Coverage: 0.0000
  Batch 420/4162, Loss: 6.4491, NLL: 6.4491, Coverage: 0.0000
  Batch 430/4162, Loss: 6.1259, NLL: 6.1259, Coverage: 0.0000
  Batch 440/4162, Loss: 6.4646, NLL: 6.4646, Coverage: 0.0000
  Batch 450/4162, Loss: 6.0033, NLL: 6.0033, Coverage: 0.0000
  Batch 460/4162, Loss: 6.0073, NLL: 6.0073, Coverage: 0.0000
  Batch 470/4162, Loss: 5.9920, NLL: 5.9920, Coverage: 0.0000
  Batch 480/4162, Loss: 5.9309, NLL: 5.9309, Coverage: 0.0000
  Batch 490/4162, Loss: 6.3815, NLL: 6.3815, Coverage: 0.0000
  Batch 500/4162, Loss: 5.9771, NLL: 5.9771, Coverage: 0.0000
  Batch 510/4162, Loss: 6.2088, NLL: 6.2088, Coverage: 0.0000
  Batch 520/4162, Loss: 6.3987, NLL: 6.3987, Coverage: 0.0000
  Batch 530/4162, Loss: 5.9471, NLL: 5.9471, Coverage: 0.0000
  Batch 540/4162, Loss: 6.1986, NLL: 6.1986, Coverage: 0.0000
  Batch 550/4162, Loss: 6.1045, NLL: 6.1045, Coverage: 0.0000
  Batch 560/4162, Loss: 5.9549, NLL: 5.9549, Coverage: 0.0000
  Batch 570/4162, Loss: 5.9317, NLL: 5.9317, Coverage: 0.0000
  Batch 580/4162, Loss: 6.1319, NLL: 6.1319, Coverage: 0.0000
  Batch 590/4162, Loss: 6.0246, NLL: 6.0246, Coverage: 0.0000
  Batch 600/4162, Loss: 5.9908, NLL: 5.9908, Coverage: 0.0000
  Batch 610/4162, Loss: 6.1024, NLL: 6.1024, Coverage: 0.0000
  Batch 620/4162, Loss: 5.9411, NLL: 5.9411, Coverage: 0.0000
  Batch 630/4162, Loss: 6.1610, NLL: 6.1610, Coverage: 0.0000
  Batch 640/4162, Loss: 5.7662, NLL: 5.7662, Coverage: 0.0000
  Batch 650/4162, Loss: 6.0962, NLL: 6.0962, Coverage: 0.0000
  Batch 660/4162, Loss: 5.8960, NLL: 5.8960, Coverage: 0.0000
  Batch 670/4162, Loss: 6.0591, NLL: 6.0591, Coverage: 0.0000
  Batch 680/4162, Loss: 5.8187, NLL: 5.8187, Coverage: 0.0000
  Batch 690/4162, Loss: 6.0020, NLL: 6.0020, Coverage: 0.0000
  Batch 700/4162, Loss: 6.1802, NLL: 6.1802, Coverage: 0.0000
  Batch 710/4162, Loss: 6.3968, NLL: 6.3968, Coverage: 0.0000
  Batch 720/4162, Loss: 5.7849, NLL: 5.7849, Coverage: 0.0000
  Batch 730/4162, Loss: 5.7392, NLL: 5.7392, Coverage: 0.0000
  Batch 740/4162, Loss: 5.8909, NLL: 5.8909, Coverage: 0.0000
  Batch 750/4162, Loss: 5.7214, NLL: 5.7214, Coverage: 0.0000
  Batch 760/4162, Loss: 5.8210, NLL: 5.8210, Coverage: 0.0000
  Batch 770/4162, Loss: 5.9374, NLL: 5.9374, Coverage: 0.0000
  Batch 780/4162, Loss: 5.7593, NLL: 5.7593, Coverage: 0.0000
  Batch 790/4162, Loss: 5.7415, NLL: 5.7415, Coverage: 0.0000
