Job ID: 3825987
Running on node: hyperion-030.sw.ehu.es
Starting time: Thu Nov 27 22:51:42 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/pointer_generator_fasttext
Starting training...
================================================================================
POINTER-GENERATOR NETWORK TRAINING (FastText)
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=16)

================================================================================
INITIALIZING MODEL
================================================================================

Initializing embeddings with FastText...
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
✓ Initialized 19999/20000 embeddings with FastText vectors
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
✓ Initialized 19999/20000 embeddings with FastText vectors
✓ FastText embeddings loaded
✓ Model initialized
✓ Trainable parameters: 20,035,919
✓ Coverage mechanism: Disabled
✓ Optimizer: Adam (lr=0.001)
✓ LR Scheduler: ReduceLROnPlateau (patience=2)

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/pointer_generator_fasttext/logs/training_20251127_225217.log

Epoch 1/20
----------------------------------------
  Batch 10/4162, Loss: 7.5285, NLL: 7.5285, Coverage: 0.0000
  Batch 20/4162, Loss: 6.5194, NLL: 6.5194, Coverage: 0.0000
  Batch 30/4162, Loss: 6.5214, NLL: 6.5214, Coverage: 0.0000
  Batch 40/4162, Loss: 6.5083, NLL: 6.5083, Coverage: 0.0000
  Batch 50/4162, Loss: 6.9307, NLL: 6.9307, Coverage: 0.0000
  Batch 60/4162, Loss: 6.5146, NLL: 6.5146, Coverage: 0.0000
  Batch 70/4162, Loss: 6.1863, NLL: 6.1863, Coverage: 0.0000
  Batch 80/4162, Loss: 6.4582, NLL: 6.4582, Coverage: 0.0000
  Batch 90/4162, Loss: 6.4685, NLL: 6.4685, Coverage: 0.0000
  Batch 100/4162, Loss: 6.2756, NLL: 6.2756, Coverage: 0.0000
  Batch 110/4162, Loss: 6.5500, NLL: 6.5500, Coverage: 0.0000
  Batch 120/4162, Loss: 6.0949, NLL: 6.0949, Coverage: 0.0000
  Batch 130/4162, Loss: 6.4884, NLL: 6.4884, Coverage: 0.0000
  Batch 140/4162, Loss: 6.1753, NLL: 6.1753, Coverage: 0.0000
  Batch 150/4162, Loss: 6.1808, NLL: 6.1808, Coverage: 0.0000
  Batch 160/4162, Loss: 6.2992, NLL: 6.2992, Coverage: 0.0000
  Batch 170/4162, Loss: 6.3129, NLL: 6.3129, Coverage: 0.0000
  Batch 180/4162, Loss: 6.2352, NLL: 6.2352, Coverage: 0.0000
  Batch 190/4162, Loss: 6.2822, NLL: 6.2822, Coverage: 0.0000
  Batch 200/4162, Loss: 6.2783, NLL: 6.2783, Coverage: 0.0000
  Batch 210/4162, Loss: 6.2683, NLL: 6.2683, Coverage: 0.0000
  Batch 220/4162, Loss: 6.0746, NLL: 6.0746, Coverage: 0.0000
  Batch 230/4162, Loss: 6.2461, NLL: 6.2461, Coverage: 0.0000
  Batch 240/4162, Loss: 6.4149, NLL: 6.4149, Coverage: 0.0000
  Batch 250/4162, Loss: 6.1247, NLL: 6.1247, Coverage: 0.0000
  Batch 260/4162, Loss: 5.9967, NLL: 5.9967, Coverage: 0.0000
  Batch 270/4162, Loss: 6.3663, NLL: 6.3663, Coverage: 0.0000
  Batch 280/4162, Loss: 6.2899, NLL: 6.2899, Coverage: 0.0000
  Batch 290/4162, Loss: 6.2097, NLL: 6.2097, Coverage: 0.0000
  Batch 300/4162, Loss: 6.4536, NLL: 6.4536, Coverage: 0.0000
  Batch 310/4162, Loss: 6.2043, NLL: 6.2043, Coverage: 0.0000
  Batch 320/4162, Loss: 6.2008, NLL: 6.2008, Coverage: 0.0000
  Batch 330/4162, Loss: 6.2883, NLL: 6.2883, Coverage: 0.0000
  Batch 340/4162, Loss: 6.3871, NLL: 6.3871, Coverage: 0.0000
  Batch 350/4162, Loss: 6.1424, NLL: 6.1424, Coverage: 0.0000
  Batch 360/4162, Loss: 5.9457, NLL: 5.9457, Coverage: 0.0000
  Batch 370/4162, Loss: 6.5859, NLL: 6.5859, Coverage: 0.0000
  Batch 380/4162, Loss: 6.2403, NLL: 6.2403, Coverage: 0.0000
  Batch 390/4162, Loss: 6.1447, NLL: 6.1447, Coverage: 0.0000
  Batch 400/4162, Loss: 6.2516, NLL: 6.2516, Coverage: 0.0000
  Batch 410/4162, Loss: 5.9776, NLL: 5.9776, Coverage: 0.0000
  Batch 420/4162, Loss: 6.0867, NLL: 6.0867, Coverage: 0.0000
  Batch 430/4162, Loss: 6.2836, NLL: 6.2836, Coverage: 0.0000
  Batch 440/4162, Loss: 6.3975, NLL: 6.3975, Coverage: 0.0000
  Batch 450/4162, Loss: 6.0695, NLL: 6.0695, Coverage: 0.0000
  Batch 460/4162, Loss: 6.2034, NLL: 6.2034, Coverage: 0.0000
  Batch 470/4162, Loss: 6.1653, NLL: 6.1653, Coverage: 0.0000
  Batch 480/4162, Loss: 5.9850, NLL: 5.9850, Coverage: 0.0000
  Batch 490/4162, Loss: 6.3822, NLL: 6.3822, Coverage: 0.0000
  Batch 500/4162, Loss: 5.9675, NLL: 5.9675, Coverage: 0.0000
  Batch 510/4162, Loss: 6.0364, NLL: 6.0364, Coverage: 0.0000
  Batch 520/4162, Loss: 6.0891, NLL: 6.0891, Coverage: 0.0000
  Batch 530/4162, Loss: 5.8980, NLL: 5.8980, Coverage: 0.0000
  Batch 540/4162, Loss: 6.1006, NLL: 6.1006, Coverage: 0.0000
  Batch 550/4162, Loss: 6.0112, NLL: 6.0112, Coverage: 0.0000
  Batch 560/4162, Loss: 5.8773, NLL: 5.8773, Coverage: 0.0000
  Batch 570/4162, Loss: 6.2067, NLL: 6.2067, Coverage: 0.0000
  Batch 580/4162, Loss: 5.8581, NLL: 5.8581, Coverage: 0.0000
  Batch 590/4162, Loss: 5.6711, NLL: 5.6711, Coverage: 0.0000
  Batch 600/4162, Loss: 5.8171, NLL: 5.8171, Coverage: 0.0000
  Batch 610/4162, Loss: 6.2725, NLL: 6.2725, Coverage: 0.0000
  Batch 620/4162, Loss: 6.0489, NLL: 6.0489, Coverage: 0.0000
  Batch 630/4162, Loss: 5.9462, NLL: 5.9462, Coverage: 0.0000
  Batch 640/4162, Loss: 5.9720, NLL: 5.9720, Coverage: 0.0000
  Batch 650/4162, Loss: 6.2002, NLL: 6.2002, Coverage: 0.0000
  Batch 660/4162, Loss: 5.9036, NLL: 5.9036, Coverage: 0.0000
  Batch 670/4162, Loss: 6.2472, NLL: 6.2472, Coverage: 0.0000
  Batch 680/4162, Loss: 5.7716, NLL: 5.7716, Coverage: 0.0000
  Batch 690/4162, Loss: 5.8090, NLL: 5.8090, Coverage: 0.0000
  Batch 700/4162, Loss: 5.9114, NLL: 5.9114, Coverage: 0.0000
  Batch 710/4162, Loss: 5.7337, NLL: 5.7337, Coverage: 0.0000
  Batch 720/4162, Loss: 6.1714, NLL: 6.1714, Coverage: 0.0000
  Batch 730/4162, Loss: 5.7794, NLL: 5.7794, Coverage: 0.0000
  Batch 740/4162, Loss: 5.8370, NLL: 5.8370, Coverage: 0.0000
  Batch 750/4162, Loss: 5.9271, NLL: 5.9271, Coverage: 0.0000
  Batch 760/4162, Loss: 6.1910, NLL: 6.1910, Coverage: 0.0000
  Batch 770/4162, Loss: 5.7899, NLL: 5.7899, Coverage: 0.0000
  Batch 780/4162, Loss: 5.9023, NLL: 5.9023, Coverage: 0.0000
  Batch 790/4162, Loss: 5.5928, NLL: 5.5928, Coverage: 0.0000
  Batch 800/4162, Loss: 5.9127, NLL: 5.9127, Coverage: 0.0000
  Batch 810/4162, Loss: 5.7791, NLL: 5.7791, Coverage: 0.0000
  Batch 820/4162, Loss: 5.8908, NLL: 5.8908, Coverage: 0.0000
  Batch 830/4162, Loss: 6.0439, NLL: 6.0439, Coverage: 0.0000
  Batch 840/4162, Loss: 5.8067, NLL: 5.8067, Coverage: 0.0000
  Batch 850/4162, Loss: 5.6866, NLL: 5.6866, Coverage: 0.0000
  Batch 860/4162, Loss: 5.5457, NLL: 5.5457, Coverage: 0.0000
  Batch 870/4162, Loss: 5.5322, NLL: 5.5322, Coverage: 0.0000
  Batch 880/4162, Loss: 5.7577, NLL: 5.7577, Coverage: 0.0000
  Batch 890/4162, Loss: 5.5475, NLL: 5.5475, Coverage: 0.0000
  Batch 900/4162, Loss: 5.9373, NLL: 5.9373, Coverage: 0.0000
  Batch 910/4162, Loss: 5.6914, NLL: 5.6914, Coverage: 0.0000
  Batch 920/4162, Loss: 5.4746, NLL: 5.4746, Coverage: 0.0000
  Batch 930/4162, Loss: 5.7345, NLL: 5.7345, Coverage: 0.0000
  Batch 940/4162, Loss: 5.7794, NLL: 5.7794, Coverage: 0.0000
  Batch 950/4162, Loss: 5.4730, NLL: 5.4730, Coverage: 0.0000
  Batch 960/4162, Loss: 5.8383, NLL: 5.8383, Coverage: 0.0000
  Batch 970/4162, Loss: 5.9564, NLL: 5.9564, Coverage: 0.0000
  Batch 980/4162, Loss: 5.7907, NLL: 5.7907, Coverage: 0.0000
  Batch 990/4162, Loss: 5.2948, NLL: 5.2948, Coverage: 0.0000
  Batch 1000/4162, Loss: 5.5275, NLL: 5.5275, Coverage: 0.0000
  Batch 1010/4162, Loss: 5.5589, NLL: 5.5589, Coverage: 0.0000
  Batch 1020/4162, Loss: 5.7032, NLL: 5.7032, Coverage: 0.0000
  Batch 1030/4162, Loss: 5.7292, NLL: 5.7292, Coverage: 0.0000
  Batch 1040/4162, Loss: 5.5993, NLL: 5.5993, Coverage: 0.0000
  Batch 1050/4162, Loss: 5.7096, NLL: 5.7096, Coverage: 0.0000
  Batch 1060/4162, Loss: 5.5942, NLL: 5.5942, Coverage: 0.0000
  Batch 1070/4162, Loss: 5.3133, NLL: 5.3133, Coverage: 0.0000
  Batch 1080/4162, Loss: 5.6674, NLL: 5.6674, Coverage: 0.0000
  Batch 1090/4162, Loss: 5.5930, NLL: 5.5930, Coverage: 0.0000
  Batch 1100/4162, Loss: 5.2196, NLL: 5.2196, Coverage: 0.0000
  Batch 1110/4162, Loss: 5.5081, NLL: 5.5081, Coverage: 0.0000
  Batch 1120/4162, Loss: 5.6357, NLL: 5.6357, Coverage: 0.0000
  Batch 1130/4162, Loss: 5.5347, NLL: 5.5347, Coverage: 0.0000
  Batch 1140/4162, Loss: 5.6868, NLL: 5.6868, Coverage: 0.0000
  Batch 1150/4162, Loss: 5.5549, NLL: 5.5549, Coverage: 0.0000
  Batch 1160/4162, Loss: 5.7768, NLL: 5.7768, Coverage: 0.0000
  Batch 1170/4162, Loss: 5.5971, NLL: 5.5971, Coverage: 0.0000
  Batch 1180/4162, Loss: 5.6161, NLL: 5.6161, Coverage: 0.0000
  Batch 1190/4162, Loss: 5.9144, NLL: 5.9144, Coverage: 0.0000
  Batch 1200/4162, Loss: 5.6613, NLL: 5.6613, Coverage: 0.0000
  Batch 1210/4162, Loss: 5.8819, NLL: 5.8819, Coverage: 0.0000
  Batch 1220/4162, Loss: 5.4688, NLL: 5.4688, Coverage: 0.0000
  Batch 1230/4162, Loss: 5.5979, NLL: 5.5979, Coverage: 0.0000
  Batch 1240/4162, Loss: 5.6205, NLL: 5.6205, Coverage: 0.0000
  Batch 1250/4162, Loss: 5.4581, NLL: 5.4581, Coverage: 0.0000
  Batch 1260/4162, Loss: 5.5450, NLL: 5.5450, Coverage: 0.0000
  Batch 1270/4162, Loss: 5.6092, NLL: 5.6092, Coverage: 0.0000
  Batch 1280/4162, Loss: 5.4436, NLL: 5.4436, Coverage: 0.0000
  Batch 1290/4162, Loss: 5.5362, NLL: 5.5362, Coverage: 0.0000
  Batch 1300/4162, Loss: 5.4519, NLL: 5.4519, Coverage: 0.0000
  Batch 1310/4162, Loss: 5.6898, NLL: 5.6898, Coverage: 0.0000
  Batch 1320/4162, Loss: 5.7526, NLL: 5.7526, Coverage: 0.0000
  Batch 1330/4162, Loss: 5.4882, NLL: 5.4882, Coverage: 0.0000
  Batch 1340/4162, Loss: 5.5420, NLL: 5.5420, Coverage: 0.0000
  Batch 1350/4162, Loss: 5.5080, NLL: 5.5080, Coverage: 0.0000
  Batch 1360/4162, Loss: 5.5524, NLL: 5.5524, Coverage: 0.0000
  Batch 1370/4162, Loss: 5.4572, NLL: 5.4572, Coverage: 0.0000
  Batch 1380/4162, Loss: 5.4537, NLL: 5.4537, Coverage: 0.0000
  Batch 1390/4162, Loss: 5.5091, NLL: 5.5091, Coverage: 0.0000
  Batch 1400/4162, Loss: 5.3840, NLL: 5.3840, Coverage: 0.0000
  Batch 1410/4162, Loss: 5.5621, NLL: 5.5621, Coverage: 0.0000
  Batch 1420/4162, Loss: 6.0895, NLL: 6.0895, Coverage: 0.0000
  Batch 1430/4162, Loss: 5.6948, NLL: 5.6948, Coverage: 0.0000
  Batch 1440/4162, Loss: 5.4450, NLL: 5.4450, Coverage: 0.0000
  Batch 1450/4162, Loss: 5.5115, NLL: 5.5115, Coverage: 0.0000
  Batch 1460/4162, Loss: 5.2904, NLL: 5.2904, Coverage: 0.0000
  Batch 1470/4162, Loss: 5.5131, NLL: 5.5131, Coverage: 0.0000
  Batch 1480/4162, Loss: 5.8164, NLL: 5.8164, Coverage: 0.0000
  Batch 1490/4162, Loss: 5.3985, NLL: 5.3985, Coverage: 0.0000
  Batch 1500/4162, Loss: 5.3154, NLL: 5.3154, Coverage: 0.0000
  Batch 1510/4162, Loss: 5.5959, NLL: 5.5959, Coverage: 0.0000
  Batch 1520/4162, Loss: 5.3721, NLL: 5.3721, Coverage: 0.0000
  Batch 1530/4162, Loss: 5.5128, NLL: 5.5128, Coverage: 0.0000
  Batch 1540/4162, Loss: 5.3913, NLL: 5.3913, Coverage: 0.0000
  Batch 1550/4162, Loss: 5.3525, NLL: 5.3525, Coverage: 0.0000
  Batch 1560/4162, Loss: 5.4023, NLL: 5.4023, Coverage: 0.0000
  Batch 1570/4162, Loss: 5.6427, NLL: 5.6427, Coverage: 0.0000
  Batch 1580/4162, Loss: 5.2896, NLL: 5.2896, Coverage: 0.0000
  Batch 1590/4162, Loss: 5.1222, NLL: 5.1222, Coverage: 0.0000
  Batch 1600/4162, Loss: 5.2285, NLL: 5.2285, Coverage: 0.0000
  Batch 1610/4162, Loss: 5.7887, NLL: 5.7887, Coverage: 0.0000
  Batch 1620/4162, Loss: 5.4048, NLL: 5.4048, Coverage: 0.0000
  Batch 1630/4162, Loss: 5.6673, NLL: 5.6673, Coverage: 0.0000
  Batch 1640/4162, Loss: 5.2926, NLL: 5.2926, Coverage: 0.0000
  Batch 1650/4162, Loss: 5.4152, NLL: 5.4152, Coverage: 0.0000
  Batch 1660/4162, Loss: 5.7039, NLL: 5.7039, Coverage: 0.0000
  Batch 1670/4162, Loss: 5.3385, NLL: 5.3385, Coverage: 0.0000
  Batch 1680/4162, Loss: 5.4374, NLL: 5.4374, Coverage: 0.0000
  Batch 1690/4162, Loss: 5.5472, NLL: 5.5472, Coverage: 0.0000
  Batch 1700/4162, Loss: 5.5732, NLL: 5.5732, Coverage: 0.0000
  Batch 1710/4162, Loss: 5.3670, NLL: 5.3670, Coverage: 0.0000
  Batch 1720/4162, Loss: 5.4446, NLL: 5.4446, Coverage: 0.0000
  Batch 1730/4162, Loss: 5.4589, NLL: 5.4589, Coverage: 0.0000
  Batch 1740/4162, Loss: 5.0378, NLL: 5.0378, Coverage: 0.0000
  Batch 1750/4162, Loss: 5.5506, NLL: 5.5506, Coverage: 0.0000
  Batch 1760/4162, Loss: 5.7139, NLL: 5.7139, Coverage: 0.0000
  Batch 1770/4162, Loss: 5.4531, NLL: 5.4531, Coverage: 0.0000
  Batch 1780/4162, Loss: 5.2969, NLL: 5.2969, Coverage: 0.0000
  Batch 1790/4162, Loss: 4.9701, NLL: 4.9701, Coverage: 0.0000
  Batch 1800/4162, Loss: 5.3523, NLL: 5.3523, Coverage: 0.0000
  Batch 1810/4162, Loss: 5.6810, NLL: 5.6810, Coverage: 0.0000
  Batch 1820/4162, Loss: 5.4120, NLL: 5.4120, Coverage: 0.0000
  Batch 1830/4162, Loss: 5.2550, NLL: 5.2550, Coverage: 0.0000
  Batch 1840/4162, Loss: 5.4720, NLL: 5.4720, Coverage: 0.0000
  Batch 1850/4162, Loss: 5.5560, NLL: 5.5560, Coverage: 0.0000
  Batch 1860/4162, Loss: 5.6226, NLL: 5.6226, Coverage: 0.0000
  Batch 1870/4162, Loss: 5.3518, NLL: 5.3518, Coverage: 0.0000
  Batch 1880/4162, Loss: 5.4215, NLL: 5.4215, Coverage: 0.0000
  Batch 1890/4162, Loss: 5.4774, NLL: 5.4774, Coverage: 0.0000
  Batch 1900/4162, Loss: 5.6099, NLL: 5.6099, Coverage: 0.0000
  Batch 1910/4162, Loss: 5.4658, NLL: 5.4658, Coverage: 0.0000
  Batch 1920/4162, Loss: 5.2197, NLL: 5.2197, Coverage: 0.0000
  Batch 1930/4162, Loss: 5.6110, NLL: 5.6110, Coverage: 0.0000
  Batch 1940/4162, Loss: 5.9346, NLL: 5.9346, Coverage: 0.0000
  Batch 1950/4162, Loss: 5.5504, NLL: 5.5504, Coverage: 0.0000
  Batch 1960/4162, Loss: 5.4406, NLL: 5.4406, Coverage: 0.0000
  Batch 1970/4162, Loss: 5.4631, NLL: 5.4631, Coverage: 0.0000
  Batch 1980/4162, Loss: 5.4300, NLL: 5.4300, Coverage: 0.0000
  Batch 1990/4162, Loss: 5.1471, NLL: 5.1471, Coverage: 0.0000
  Batch 2000/4162, Loss: 5.8039, NLL: 5.8039, Coverage: 0.0000
  Batch 2010/4162, Loss: 5.1896, NLL: 5.1896, Coverage: 0.0000
  Batch 2020/4162, Loss: 5.6662, NLL: 5.6662, Coverage: 0.0000
  Batch 2030/4162, Loss: 5.9125, NLL: 5.9125, Coverage: 0.0000
  Batch 2040/4162, Loss: 5.1263, NLL: 5.1263, Coverage: 0.0000
  Batch 2050/4162, Loss: 5.3487, NLL: 5.3487, Coverage: 0.0000
  Batch 2060/4162, Loss: 5.4805, NLL: 5.4805, Coverage: 0.0000
  Batch 2070/4162, Loss: 5.6532, NLL: 5.6532, Coverage: 0.0000
  Batch 2080/4162, Loss: 5.3524, NLL: 5.3524, Coverage: 0.0000
  Batch 2090/4162, Loss: 5.5479, NLL: 5.5479, Coverage: 0.0000
  Batch 2100/4162, Loss: 5.5211, NLL: 5.5211, Coverage: 0.0000
  Batch 2110/4162, Loss: 5.3892, NLL: 5.3892, Coverage: 0.0000
  Batch 2120/4162, Loss: 5.3811, NLL: 5.3811, Coverage: 0.0000
  Batch 2130/4162, Loss: 5.3986, NLL: 5.3986, Coverage: 0.0000
  Batch 2140/4162, Loss: 5.2619, NLL: 5.2619, Coverage: 0.0000
  Batch 2150/4162, Loss: 5.6433, NLL: 5.6433, Coverage: 0.0000
  Batch 2160/4162, Loss: 5.5370, NLL: 5.5370, Coverage: 0.0000
