Job ID: 3824997
Running on node: hyperion-096.sw.ehu.es
Starting time: Thu Nov 27 17:29:41 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 25,229,856
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq/logs/training_20251127_173002.log

Epoch 1/20
----------------------------------------
  Batch 10/8324, Loss: 7.5505
  Batch 20/8324, Loss: 7.1312
  Batch 30/8324, Loss: 7.5782
  Batch 40/8324, Loss: 7.1371
  Batch 50/8324, Loss: 7.0543
  Batch 60/8324, Loss: 6.6648
  Batch 70/8324, Loss: 7.2416
  Batch 80/8324, Loss: 6.7030
  Batch 90/8324, Loss: 7.1600
  Batch 100/8324, Loss: 7.0542
  Batch 110/8324, Loss: 6.7410
  Batch 120/8324, Loss: 6.7069
  Batch 130/8324, Loss: 6.8717
  Batch 140/8324, Loss: 7.1983
  Batch 150/8324, Loss: 6.8277
  Batch 160/8324, Loss: 6.5530
  Batch 170/8324, Loss: 7.0070
  Batch 180/8324, Loss: 6.6542
  Batch 190/8324, Loss: 6.2820
  Batch 200/8324, Loss: 6.6353
  Batch 210/8324, Loss: 6.6495
  Batch 220/8324, Loss: 6.8697
  Batch 230/8324, Loss: 6.4467
  Batch 240/8324, Loss: 6.6992
  Batch 250/8324, Loss: 6.5477
  Batch 260/8324, Loss: 6.5723
  Batch 270/8324, Loss: 6.4986
  Batch 280/8324, Loss: 6.5801
  Batch 290/8324, Loss: 6.5040
  Batch 300/8324, Loss: 6.4645
  Batch 310/8324, Loss: 6.6139
  Batch 320/8324, Loss: 6.6232
  Batch 330/8324, Loss: 6.5962
  Batch 340/8324, Loss: 6.3135
  Batch 350/8324, Loss: 6.7751
  Batch 360/8324, Loss: 6.6297
  Batch 370/8324, Loss: 6.7350
  Batch 380/8324, Loss: 6.8147
  Batch 390/8324, Loss: 6.7394
  Batch 400/8324, Loss: 6.3793
  Batch 410/8324, Loss: 6.6721
  Batch 420/8324, Loss: 6.6614
  Batch 430/8324, Loss: 6.5974
  Batch 440/8324, Loss: 6.3585
  Batch 450/8324, Loss: 6.4913
  Batch 460/8324, Loss: 6.5151
  Batch 470/8324, Loss: 6.3430
  Batch 480/8324, Loss: 6.3332
  Batch 490/8324, Loss: 6.5309
  Batch 500/8324, Loss: 6.8959
  Batch 510/8324, Loss: 6.3226
  Batch 520/8324, Loss: 6.5322
  Batch 530/8324, Loss: 6.8494
  Batch 540/8324, Loss: 6.6271
  Batch 550/8324, Loss: 6.0451
  Batch 560/8324, Loss: 6.5332
  Batch 570/8324, Loss: 6.0705
  Batch 580/8324, Loss: 6.5952
  Batch 590/8324, Loss: 6.8106
  Batch 600/8324, Loss: 5.9650
  Batch 610/8324, Loss: 6.7037
  Batch 620/8324, Loss: 6.3159
  Batch 630/8324, Loss: 6.6535
  Batch 640/8324, Loss: 6.1528
  Batch 650/8324, Loss: 6.1079
  Batch 660/8324, Loss: 6.4669
  Batch 670/8324, Loss: 6.1734
  Batch 680/8324, Loss: 6.3201
  Batch 690/8324, Loss: 5.8812
  Batch 700/8324, Loss: 6.1515
  Batch 710/8324, Loss: 6.3922
  Batch 720/8324, Loss: 6.5344
  Batch 730/8324, Loss: 5.7580
  Batch 740/8324, Loss: 6.2886
  Batch 750/8324, Loss: 5.7737
  Batch 760/8324, Loss: 5.9073
  Batch 770/8324, Loss: 6.3367
  Batch 780/8324, Loss: 6.3967
  Batch 790/8324, Loss: 6.0452
  Batch 800/8324, Loss: 6.2676
  Batch 810/8324, Loss: 6.3920
  Batch 820/8324, Loss: 6.0526
  Batch 830/8324, Loss: 6.5703
  Batch 840/8324, Loss: 6.4041
  Batch 850/8324, Loss: 6.0951
  Batch 860/8324, Loss: 6.2221
  Batch 870/8324, Loss: 6.4588
  Batch 880/8324, Loss: 6.1983
  Batch 890/8324, Loss: 6.0626
  Batch 900/8324, Loss: 6.4679
  Batch 910/8324, Loss: 6.2305
  Batch 920/8324, Loss: 5.8911
  Batch 930/8324, Loss: 6.4512
  Batch 940/8324, Loss: 6.1813
  Batch 950/8324, Loss: 6.3572
  Batch 960/8324, Loss: 5.7092
  Batch 970/8324, Loss: 6.1162
  Batch 980/8324, Loss: 6.7891
  Batch 990/8324, Loss: 6.1808
  Batch 1000/8324, Loss: 6.2192
  Batch 1010/8324, Loss: 5.9363
  Batch 1020/8324, Loss: 5.9049
  Batch 1030/8324, Loss: 5.6476
  Batch 1040/8324, Loss: 5.9595
  Batch 1050/8324, Loss: 6.5914
  Batch 1060/8324, Loss: 6.3749
  Batch 1070/8324, Loss: 5.7732
  Batch 1080/8324, Loss: 6.3935
  Batch 1090/8324, Loss: 6.1411
  Batch 1100/8324, Loss: 6.1202
  Batch 1110/8324, Loss: 6.0575
  Batch 1120/8324, Loss: 6.1548
  Batch 1130/8324, Loss: 6.1624
  Batch 1140/8324, Loss: 6.4216
  Batch 1150/8324, Loss: 6.2940
  Batch 1160/8324, Loss: 6.3109
  Batch 1170/8324, Loss: 5.8926
  Batch 1180/8324, Loss: 6.4040
  Batch 1190/8324, Loss: 6.0950
  Batch 1200/8324, Loss: 5.9860
  Batch 1210/8324, Loss: 6.3151
  Batch 1220/8324, Loss: 6.3285
  Batch 1230/8324, Loss: 5.6360
  Batch 1240/8324, Loss: 6.3024
  Batch 1250/8324, Loss: 6.1754
  Batch 1260/8324, Loss: 5.6860
  Batch 1270/8324, Loss: 6.1474
  Batch 1280/8324, Loss: 6.4856
  Batch 1290/8324, Loss: 6.1999
  Batch 1300/8324, Loss: 6.0451
