Job ID: 3825040
Running on node: hyperion-118.sw.ehu.es
Starting time: Thu Nov 27 19:48:26 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================

Initializing embeddings with FastText...
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
✓ FastText embeddings loaded
✓ Model initialized
✓ Trainable parameters: 36,078,240
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext/logs/training_20251127_194906.log

Epoch 1/20
----------------------------------------
  Batch 10/8324, Loss: 7.3680
  Batch 20/8324, Loss: 7.1629
  Batch 30/8324, Loss: 7.1345
  Batch 40/8324, Loss: 7.0524
  Batch 50/8324, Loss: 7.2298
  Batch 60/8324, Loss: 7.1019
  Batch 70/8324, Loss: 6.9879
  Batch 80/8324, Loss: 6.7009
  Batch 90/8324, Loss: 6.7859
  Batch 100/8324, Loss: 6.9251
  Batch 110/8324, Loss: 6.9146
  Batch 120/8324, Loss: 6.6581
  Batch 130/8324, Loss: 6.7684
  Batch 140/8324, Loss: 6.7304
  Batch 150/8324, Loss: 6.7052
  Batch 160/8324, Loss: 6.8330
  Batch 170/8324, Loss: 6.8217
  Batch 180/8324, Loss: 6.6173
  Batch 190/8324, Loss: 7.0372
  Batch 200/8324, Loss: 6.5632
  Batch 210/8324, Loss: 6.6237
  Batch 220/8324, Loss: 6.7403
  Batch 230/8324, Loss: 6.9014
  Batch 240/8324, Loss: 6.5957
  Batch 250/8324, Loss: 6.4498
  Batch 260/8324, Loss: 6.7951
  Batch 270/8324, Loss: 6.9146
  Batch 280/8324, Loss: 6.4303
  Batch 290/8324, Loss: 6.7026
  Batch 300/8324, Loss: 6.2943
  Batch 310/8324, Loss: 6.5333
  Batch 320/8324, Loss: 6.6965
  Batch 330/8324, Loss: 6.4459
  Batch 340/8324, Loss: 6.4670
  Batch 350/8324, Loss: 6.0788
  Batch 360/8324, Loss: 6.5402
  Batch 370/8324, Loss: 6.5428
  Batch 380/8324, Loss: 6.4926
  Batch 390/8324, Loss: 6.5391
  Batch 400/8324, Loss: 6.3315
  Batch 410/8324, Loss: 6.4782
  Batch 420/8324, Loss: 6.5432
